--- PSX Execution Trace ---
[09496] PC: 0x80001000  Inst: 0x3C08FFFF
[09497] PC: 0x80001004  Inst: 0x3508FFFF
[09498] PC: 0x80001008  Inst: 0x24090001
[09499] PC: 0x8000100C  Inst: 0x01095021
[09500] PC: 0x80001000  Inst: 0x24080064
[09501] PC: 0x80001004  Inst: 0x2509FFCE
[09502] PC: 0x80001000  Inst: 0x2408000A
[09503] PC: 0x80001004  Inst: 0x2409001E
[09504] PC: 0x80001008  Inst: 0x01095023
[09505] PC: 0x80001000  Inst: 0x2408FFFF
[09506] PC: 0x80001004  Inst: 0x3109FFFF
[09507] PC: 0x80001008  Inst: 0x240AFFFF
[09508] PC: 0x80001000  Inst: 0x3C08F0F0
[09509] PC: 0x80001004  Inst: 0x3508F0F0
[09510] PC: 0x80001008  Inst: 0x3C090FF0
[09511] PC: 0x8000100C  Inst: 0x35290FF0
[09512] PC: 0x80001010  Inst: 0x01095024
[09513] PC: 0x80001014  Inst: 0x01095825
[09514] PC: 0x80001018  Inst: 0x01096026
[09515] PC: 0x8000101C  Inst: 0x01096827
[09516] PC: 0x80001000  Inst: 0x3C081234
[09517] PC: 0x80001000  Inst: 0x2408FFFF
[09518] PC: 0x80001004  Inst: 0x24090001
[09519] PC: 0x80001008  Inst: 0x0109502A
[09520] PC: 0x8000100C  Inst: 0x0109582B
[09521] PC: 0x80001000  Inst: 0x24080001
[09522] PC: 0x80001004  Inst: 0x2909FFFF
[09523] PC: 0x80001008  Inst: 0x2D0AFFFF
[09524] PC: 0x80001000  Inst: 0x3C088000
[09525] PC: 0x80001004  Inst: 0x00084903
[09526] PC: 0x80001008  Inst: 0x00085102
[09527] PC: 0x80001000  Inst: 0x24080001
[09528] PC: 0x80001004  Inst: 0x00084FC0
[09529] PC: 0x80001000  Inst: 0x24080001
[09530] PC: 0x80001004  Inst: 0x24090020
[09531] PC: 0x80001008  Inst: 0x01285004
[09532] PC: 0x8000100C  Inst: 0x240B0021
[09533] PC: 0x80001010  Inst: 0x01686004
[09534] PC: 0x80001000  Inst: 0x3C088000
[09535] PC: 0x80001004  Inst: 0x24090004
[09536] PC: 0x80001008  Inst: 0x01285007
[09537] PC: 0x80001000  Inst: 0x3C088000
[09538] PC: 0x80001004  Inst: 0x24090004
[09539] PC: 0x80001008  Inst: 0x01285006
[09540] PC: 0x80001000  Inst: 0x2408FFFD
[09541] PC: 0x80001004  Inst: 0x24090005
[09542] PC: 0x80001008  Inst: 0x01090018
[09543] PC: 0x8000100C  Inst: 0x00005012
[09544] PC: 0x80001010  Inst: 0x00005810
[09545] PC: 0x80001000  Inst: 0x2408FFFF
[09546] PC: 0x80001004  Inst: 0x24090002
[09547] PC: 0x80001008  Inst: 0x01090019
[09548] PC: 0x8000100C  Inst: 0x00005012
[09549] PC: 0x80001010  Inst: 0x00005810
[09550] PC: 0x80001000  Inst: 0x2408FFF9
[09551] PC: 0x80001004  Inst: 0x24090002
[09552] PC: 0x80001008  Inst: 0x0109001A
[09553] PC: 0x8000100C  Inst: 0x00005012
[09554] PC: 0x80001010  Inst: 0x00005810
[09555] PC: 0x80001000  Inst: 0x24080011
[09556] PC: 0x80001004  Inst: 0x24090005
[09557] PC: 0x80001008  Inst: 0x0109001B
[09558] PC: 0x8000100C  Inst: 0x00005012
[09559] PC: 0x80001010  Inst: 0x00005810
[09560] PC: 0x80001000  Inst: 0x24080005
[09561] PC: 0x80001004  Inst: 0x0100001A
[09562] PC: 0x80001008  Inst: 0x00005012
[09563] PC: 0x8000100C  Inst: 0x00005810
[09564] PC: 0x80001000  Inst: 0x2408FFFB
[09565] PC: 0x80001004  Inst: 0x0100001A
[09566] PC: 0x80001008  Inst: 0x00005012
[09567] PC: 0x8000100C  Inst: 0x00005810
[09568] PC: 0x80001000  Inst: 0x24080005
[09569] PC: 0x80001004  Inst: 0x0100001B
[09570] PC: 0x80001008  Inst: 0x00005012
[09571] PC: 0x8000100C  Inst: 0x00005810
[09572] PC: 0x80001000  Inst: 0x3C088000
[09573] PC: 0x80001004  Inst: 0x2409FFFF
[09574] PC: 0x80001008  Inst: 0x0109001A
[09575] PC: 0x8000100C  Inst: 0x00005012
[09576] PC: 0x80001010  Inst: 0x00005810
[09577] PC: 0x80001000  Inst: 0x24080123
[09578] PC: 0x80001004  Inst: 0x01000011
[09579] PC: 0x80001008  Inst: 0x24090456
[09580] PC: 0x8000100C  Inst: 0x01200013
[09581] PC: 0x80001010  Inst: 0x00005010
[09582] PC: 0x80001014  Inst: 0x00005812
[09583] PC: 0x80001000  Inst: 0x24080000
[09584] PC: 0x80001004  Inst: 0x11000002
[09585] PC: 0x80001008  Inst: 0x24180001
[09586] PC: 0x80001010  Inst: 0x24100001
[09587] PC: 0x80001000  Inst: 0x24080001
[09588] PC: 0x80001004  Inst: 0x11000002
[09589] PC: 0x80001008  Inst: 0x24180001
[09590] PC: 0x8000100C  Inst: 0x24190001
[09591] PC: 0x80001000  Inst: 0x24080001
[09592] PC: 0x80001004  Inst: 0x15000002
[09593] PC: 0x80001008  Inst: 0x24180001
[09594] PC: 0x80001010  Inst: 0x24100001
[09595] PC: 0x80001000  Inst: 0x24080000
[09596] PC: 0x80001004  Inst: 0x15000002
[09597] PC: 0x80001008  Inst: 0x24180001
[09598] PC: 0x8000100C  Inst: 0x24190001
[09599] PC: 0x80001000  Inst: 0x2408FFFF
[09600] PC: 0x80001004  Inst: 0x19000002
[09601] PC: 0x80001008  Inst: 0x24180001
[09602] PC: 0x80001010  Inst: 0x24100001
[09603] PC: 0x80001000  Inst: 0x24080000
[09604] PC: 0x80001004  Inst: 0x19000002
[09605] PC: 0x80001008  Inst: 0x24180001
[09606] PC: 0x80001010  Inst: 0x24100001
[09607] PC: 0x80001000  Inst: 0x24080001
[09608] PC: 0x80001004  Inst: 0x19000002
[09609] PC: 0x80001008  Inst: 0x24180001
[09610] PC: 0x8000100C  Inst: 0x24190001
[09611] PC: 0x80001000  Inst: 0x2408FFFF
[09612] PC: 0x80001004  Inst: 0x1D000002
[09613] PC: 0x80001008  Inst: 0x24180001
[09614] PC: 0x8000100C  Inst: 0x24190001
[09615] PC: 0x80001000  Inst: 0x24080000
[09616] PC: 0x80001004  Inst: 0x1D000002
[09617] PC: 0x80001008  Inst: 0x24180001
[09618] PC: 0x8000100C  Inst: 0x24190001
[09619] PC: 0x80001000  Inst: 0x24080001
[09620] PC: 0x80001004  Inst: 0x1D000002
[09621] PC: 0x80001008  Inst: 0x24180001
[09622] PC: 0x80001010  Inst: 0x24100001
[09623] PC: 0x80001000  Inst: 0x2408FFFF
[09624] PC: 0x80001004  Inst: 0x05000002
[09625] PC: 0x80001008  Inst: 0x24180001
[09626] PC: 0x80001010  Inst: 0x24100001
[09627] PC: 0x80001000  Inst: 0x24080000
[09628] PC: 0x80001004  Inst: 0x05000002
[09629] PC: 0x80001008  Inst: 0x24180001
[09630] PC: 0x8000100C  Inst: 0x24190001
[09631] PC: 0x80001000  Inst: 0x24080001
[09632] PC: 0x80001004  Inst: 0x05000002
[09633] PC: 0x80001008  Inst: 0x24180001
[09634] PC: 0x8000100C  Inst: 0x24190001
[09635] PC: 0x80001000  Inst: 0x2408FFFF
[09636] PC: 0x80001004  Inst: 0x05010002
[09637] PC: 0x80001008  Inst: 0x24180001
[09638] PC: 0x8000100C  Inst: 0x24190001
[09639] PC: 0x80001000  Inst: 0x24080000
[09640] PC: 0x80001004  Inst: 0x05010002
[09641] PC: 0x80001008  Inst: 0x24180001
[09642] PC: 0x80001010  Inst: 0x24100001
[09643] PC: 0x80001000  Inst: 0x24080001
[09644] PC: 0x80001004  Inst: 0x05010002
[09645] PC: 0x80001008  Inst: 0x24180001
[09646] PC: 0x80001010  Inst: 0x24100001
[09647] PC: 0x80001000  Inst: 0x3C088000
[09648] PC: 0x80001004  Inst: 0x19000002
[09649] PC: 0x80001008  Inst: 0x24180001
[09650] PC: 0x80001010  Inst: 0x24100001
[09651] PC: 0x80001000  Inst: 0x3C088000
[09652] PC: 0x80001004  Inst: 0x1D000002
[09653] PC: 0x80001008  Inst: 0x24180001
[09654] PC: 0x8000100C  Inst: 0x24190001
[09655] PC: 0x80001000  Inst: 0x2408FFFF
[09656] PC: 0x80001004  Inst: 0x11000002
[09657] PC: 0x80001008  Inst: 0x00000000
[09658] PC: 0x80001000  Inst: 0x24080000
[09659] PC: 0x80001004  Inst: 0x11000002
[09660] PC: 0x80001008  Inst: 0x00000000
[09661] PC: 0x80001010  Inst: 0x00000000
[09662] PC: 0x80001000  Inst: 0x24080001
[09663] PC: 0x80001004  Inst: 0x11000002
[09664] PC: 0x80001008  Inst: 0x00000000
[09665] PC: 0x80001000  Inst: 0x2408FFFF
[09666] PC: 0x80001004  Inst: 0x15000002
[09667] PC: 0x80001008  Inst: 0x00000000
[09668] PC: 0x80001010  Inst: 0x00000000
[09669] PC: 0x80001000  Inst: 0x24080000
[09670] PC: 0x80001004  Inst: 0x15000002
[09671] PC: 0x80001008  Inst: 0x00000000
[09672] PC: 0x80001000  Inst: 0x24080001
[09673] PC: 0x80001004  Inst: 0x15000002
[09674] PC: 0x80001008  Inst: 0x00000000
[09675] PC: 0x80001010  Inst: 0x00000000
[09676] PC: 0x80001000  Inst: 0x2408FFFF
[09677] PC: 0x80001004  Inst: 0x19000002
[09678] PC: 0x80001008  Inst: 0x00000000
[09679] PC: 0x80001010  Inst: 0x00000000
[09680] PC: 0x80001000  Inst: 0x24080000
[09681] PC: 0x80001004  Inst: 0x19000002
[09682] PC: 0x80001008  Inst: 0x00000000
[09683] PC: 0x80001010  Inst: 0x00000000
[09684] PC: 0x80001000  Inst: 0x24080001
[09685] PC: 0x80001004  Inst: 0x19000002
[09686] PC: 0x80001008  Inst: 0x00000000
[09687] PC: 0x80001000  Inst: 0x2408FFFF
[09688] PC: 0x80001004  Inst: 0x1D000002
[09689] PC: 0x80001008  Inst: 0x00000000
[09690] PC: 0x80001000  Inst: 0x24080000
[09691] PC: 0x80001004  Inst: 0x1D000002
[09692] PC: 0x80001008  Inst: 0x00000000
[09693] PC: 0x80001000  Inst: 0x24080001
[09694] PC: 0x80001004  Inst: 0x1D000002
[09695] PC: 0x80001008  Inst: 0x00000000
[09696] PC: 0x80001010  Inst: 0x00000000
[09697] PC: 0x80001000  Inst: 0x2408FFFF
[09698] PC: 0x80001004  Inst: 0x05000002
[09699] PC: 0x80001008  Inst: 0x00000000
[09700] PC: 0x80001010  Inst: 0x00000000
[09701] PC: 0x80001000  Inst: 0x24080000
[09702] PC: 0x80001004  Inst: 0x05000002
[09703] PC: 0x80001008  Inst: 0x00000000
[09704] PC: 0x80001000  Inst: 0x24080001
[09705] PC: 0x80001004  Inst: 0x05000002
[09706] PC: 0x80001008  Inst: 0x00000000
[09707] PC: 0x80001000  Inst: 0x2408FFFF
[09708] PC: 0x80001004  Inst: 0x05010002
[09709] PC: 0x80001008  Inst: 0x00000000
[09710] PC: 0x80001000  Inst: 0x24080000
[09711] PC: 0x80001004  Inst: 0x05010002
[09712] PC: 0x80001008  Inst: 0x00000000
[09713] PC: 0x80001010  Inst: 0x00000000
[09714] PC: 0x80001000  Inst: 0x24080001
[09715] PC: 0x80001004  Inst: 0x05010002
[09716] PC: 0x80001008  Inst: 0x00000000
[09717] PC: 0x80001010  Inst: 0x00000000
[09718] PC: 0x80001000  Inst: 0x24080002
[09719] PC: 0x80001004  Inst: 0x24090000
[09720] PC: 0x80001008  Inst: 0x25290001
[09721] PC: 0x8000100C  Inst: 0x2508FFFF
[09722] PC: 0x80001010  Inst: 0x1500FFFD
[09723] PC: 0x80001014  Inst: 0x00000000
[09724] PC: 0x80001008  Inst: 0x25290001
[09725] PC: 0x8000100C  Inst: 0x2508FFFF
[09726] PC: 0x80001010  Inst: 0x1500FFFD
[09727] PC: 0x80001014  Inst: 0x00000000
[09728] PC: 0x80001018  Inst: 0x00000000
[09729] PC: 0x8000101C  Inst: 0x00000000
[09730] PC: 0x80001020  Inst: 0x00000000
[09731] PC: 0x80001000  Inst: 0x0C000404
[09732] PC: 0x80001004  Inst: 0x24180001
[09733] PC: 0x80001010  Inst: 0x24100001
[09734] PC: 0x80001000  Inst: 0x08000404
[09735] PC: 0x80001004  Inst: 0x24180001
[09736] PC: 0x80001010  Inst: 0x24100001
[09737] PC: 0x80001000  Inst: 0x3C088000
[09738] PC: 0x80001004  Inst: 0x35081014
[09739] PC: 0x80001008  Inst: 0x01000008
[09740] PC: 0x8000100C  Inst: 0x24180001
[09741] PC: 0x80001014  Inst: 0x24100001
[09742] PC: 0x80001000  Inst: 0x3C088000
[09743] PC: 0x80001004  Inst: 0x35081018
[09744] PC: 0x80001008  Inst: 0x0100F809
[09745] PC: 0x8000100C  Inst: 0x24180001
[09746] PC: 0x80001018  Inst: 0x24100001
[09747] PC: 0x80001000  Inst: 0x24080001
[09748] PC: 0x80001004  Inst: 0x05100002
[09749] PC: 0x80001008  Inst: 0x00000000
[09750] PC: 0x80001000  Inst: 0x3C088000
[09751] PC: 0x80001004  Inst: 0x35082000
[09752] PC: 0x80001008  Inst: 0x81090000
[09753] PC: 0x8000100C  Inst: 0x910A0000
[09754] PC: 0x80001010  Inst: 0x00000000
[09755] PC: 0x80001014  Inst: 0x00000000
[09756] PC: 0x80001000  Inst: 0x3C088000
[09757] PC: 0x80001004  Inst: 0x35082000
[09758] PC: 0x80001008  Inst: 0x85090000
[09759] PC: 0x8000100C  Inst: 0x950A0000
[09760] PC: 0x80001010  Inst: 0x00000000
[09761] PC: 0x80001014  Inst: 0x00000000
[09762] PC: 0x80001000  Inst: 0x3C088000
[09763] PC: 0x80001004  Inst: 0x35082000
[09764] PC: 0x80001008  Inst: 0x24090011
[09765] PC: 0x8000100C  Inst: 0xA1090001
[09766] PC: 0x80001000  Inst: 0x3C088000
[09767] PC: 0x80001004  Inst: 0x35082000
[09768] PC: 0x80001008  Inst: 0x3C091122
[09769] PC: 0x8000100C  Inst: 0x35293344
[09770] PC: 0x80001010  Inst: 0xA5090000
[09771] PC: 0x80001000  Inst: 0x3C088000
[09772] PC: 0x80001004  Inst: 0x35082000
[09773] PC: 0x80001008  Inst: 0x3C09DEAD
[09774] PC: 0x8000100C  Inst: 0x3529BEEF
[09775] PC: 0x80001010  Inst: 0xAD090000
[09776] PC: 0x80001014  Inst: 0x8D0A0000
[09777] PC: 0x80001018  Inst: 0x00000000
[09778] PC: 0x8000101C  Inst: 0x00000000
[09779] PC: 0x80001000  Inst: 0x3C088000
[09780] PC: 0x80001004  Inst: 0x35082000
[09781] PC: 0x80001008  Inst: 0x3C09AABB
[09782] PC: 0x8000100C  Inst: 0x3529CCDD
[09783] PC: 0x80001010  Inst: 0x89090000
[09784] PC: 0x80001014  Inst: 0x00000000
[09785] PC: 0x80001018  Inst: 0x00000000
